variable,input_table,species_short,cohort_short,has_herd_structure,requirement,condition,lower_bound,lower_inclusive,upper_bound,upper_inclusive,range_species_short,range_cohort_short,comparison_operator,comparison_variable,validation_function,run_demographic_herd,run_weights,run_ration_quality,run_metabolic_energy_req,run_emissions_enteric,run_nitrogen_balance,run_emissions_manure,run_emissions_ration,run_production,run_allocation,run_aggregation,run_gleam,evidence_function
live_weight_at_weaning,herd_level_data,PGS,FA,ANY,R,Used in sow lactation energy and reproductive N retention.,0,TRUE,1000,TRUE,ANY,ANY,"","","","","","",X,"",X,"","","","","",X,calc_metabolic_energy_req_lactation; calc_nitrogen_retention
live_weight_at_weaning,herd_level_data,SHP,FA,ANY,R,Used to estimate milk required for offspring in lactation energy.,0,TRUE,1000,TRUE,ANY,ANY,"","","","","","",X,"","","","","","","",X,calc_metabolic_energy_req_lactation
live_weight_cohort_at_slaughter,"",ANY,ANY,"","","",0,TRUE,Inf,TRUE,ANY,ANY,"","","","","","","","","","","","","","","",""
live_weight_cohort_average,"",ANY,ANY,"","","",0,TRUE,Inf,TRUE,ANY,ANY,<=,live_weight_cohort_final,run_metabolic_energy_req_module,"","","","","","","","","","","","",""
live_weight_cohort_average,"",BFL,FJ,"","","",0,TRUE,Inf,TRUE,ANY,ANY,<=,live_weight_cohort_final,calc_metabolic_energy_req_growth,"","","","","","","","","","","","",""
live_weight_cohort_average,"",BFL,FS,"","","",0,TRUE,Inf,TRUE,ANY,ANY,<=,live_weight_cohort_final,calc_metabolic_energy_req_growth,"","","","","","","","","","","","",""
live_weight_cohort_average,"",BFL,MJ,"","","",0,TRUE,Inf,TRUE,ANY,ANY,<=,live_weight_cohort_final,calc_metabolic_energy_req_growth,"","","","","","","","","","","","",""
live_weight_cohort_average,"",BFL,MS,"","","",0,TRUE,Inf,TRUE,ANY,ANY,<=,live_weight_cohort_final,calc_metabolic_energy_req_growth,"","","","","","","","","","","","",""
live_weight_cohort_average,"",CTL,FJ,"","","",0,TRUE,Inf,TRUE,ANY,ANY,<=,live_weight_cohort_final,calc_metabolic_energy_req_growth,"","","","","","","","","","","","",""
live_weight_cohort_average,"",CTL,FS,"","","",0,TRUE,Inf,TRUE,ANY,ANY,<=,live_weight_cohort_final,calc_metabolic_energy_req_growth,"","","","","","","","","","","","",""
live_weight_cohort_average,"",CTL,MJ,"","","",0,TRUE,Inf,TRUE,ANY,ANY,<=,live_weight_cohort_final,calc_metabolic_energy_req_growth,"","","","","","","","","","","","",""
live_weight_cohort_average,"",CTL,MS,"","","",0,TRUE,Inf,TRUE,ANY,ANY,<=,live_weight_cohort_final,calc_metabolic_energy_req_growth,"","","","","","","","","","","","",""
live_weight_cohort_final,"",ANY,ANY,"","","",0,TRUE,Inf,TRUE,ANY,ANY,"","","","","","","","","","","","","","","",""
live_weight_cohort_initial,"",ANY,ANY,"","","",0,TRUE,Inf,TRUE,ANY,ANY,<=,live_weight_cohort_average,run_metabolic_energy_req_module,"","","","","","","","","","","","",""
live_weight_cohort_initial,"",BFL,FJ,"","","",0,TRUE,Inf,TRUE,ANY,ANY,<=,live_weight_cohort_average,calc_metabolic_energy_req_growth,"","","","","","","","","","","","",""
live_weight_cohort_initial,"",BFL,FS,"","","",0,TRUE,Inf,TRUE,ANY,ANY,<=,live_weight_cohort_average,calc_metabolic_energy_req_growth,"","","","","","","","","","","","",""
live_weight_cohort_initial,"",BFL,MJ,"","","",0,TRUE,Inf,TRUE,ANY,ANY,<=,live_weight_cohort_average,calc_metabolic_energy_req_growth,"","","","","","","","","","","","",""
live_weight_cohort_initial,"",BFL,MS,"","","",0,TRUE,Inf,TRUE,ANY,ANY,<=,live_weight_cohort_average,calc_metabolic_energy_req_growth,"","","","","","","","","","","","",""
live_weight_cohort_initial,"",CTL,FJ,"","","",0,TRUE,Inf,TRUE,ANY,ANY,<=,live_weight_cohort_average,calc_metabolic_energy_req_growth,"","","","","","","","","","","","",""
live_weight_cohort_initial,"",CTL,FS,"","","",0,TRUE,Inf,TRUE,ANY,ANY,<=,live_weight_cohort_average,calc_metabolic_energy_req_growth,"","","","","","","","","","","","",""
live_weight_cohort_initial,"",CTL,MJ,"","","",0,TRUE,Inf,TRUE,ANY,ANY,<=,live_weight_cohort_average,calc_metabolic_energy_req_growth,"","","","","","","","","","","","",""
live_weight_cohort_initial,"",CTL,MS,"","","",0,TRUE,Inf,TRUE,ANY,ANY,<=,live_weight_cohort_average,calc_metabolic_energy_req_growth,"","","","","","","","","","","","",""
live_weight_cohort_initial,"",GTS,FJ,"","","",0,TRUE,Inf,TRUE,ANY,ANY,<=,live_weight_cohort_final,calc_metabolic_energy_req_growth,"","","","","","","","","","","","",""
live_weight_cohort_initial,"",GTS,FS,"","","",0,TRUE,Inf,TRUE,ANY,ANY,<=,live_weight_cohort_final,calc_metabolic_energy_req_growth,"","","","","","","","","","","","",""
live_weight_cohort_initial,"",GTS,MJ,"","","",0,TRUE,Inf,TRUE,ANY,ANY,<=,live_weight_cohort_final,calc_metabolic_energy_req_growth,"","","","","","","","","","","","",""
live_weight_cohort_initial,"",GTS,MS,"","","",0,TRUE,Inf,TRUE,ANY,ANY,<=,live_weight_cohort_final,calc_metabolic_energy_req_growth,"","","","","","","","","","","","",""
live_weight_cohort_initial,"",SHP,FJ,"","","",0,TRUE,Inf,TRUE,ANY,ANY,<=,live_weight_cohort_final,calc_metabolic_energy_req_growth,"","","","","","","","","","","","",""
live_weight_cohort_initial,"",SHP,FS,"","","",0,TRUE,Inf,TRUE,ANY,ANY,<=,live_weight_cohort_final,calc_metabolic_energy_req_growth,"","","","","","","","","","","","",""
live_weight_cohort_initial,"",SHP,MJ,"","","",0,TRUE,Inf,TRUE,ANY,ANY,<=,live_weight_cohort_final,calc_metabolic_energy_req_growth,"","","","","","","","","","","","",""
live_weight_cohort_initial,"",SHP,MS,"","","",0,TRUE,Inf,TRUE,ANY,ANY,<=,live_weight_cohort_final,calc_metabolic_energy_req_growth,"","","","","","","","","","","","",""
live_weight_female_adult,herd_level_data,ANY,FA,ANY,R,FA uses it directly; FS uses it as mature/potential final weight; FJ uses it as live_weight_mature_stage.,0,TRUE,Inf,TRUE,ANY,ANY,"","","","",X,"","","","","","","","","",X,calc_cohort_weights
live_weight_female_adult,herd_level_data,ANY,FJ,ANY,R,FA uses it directly; FS uses it as mature/potential final weight; FJ uses it as live_weight_mature_stage.,0,TRUE,Inf,TRUE,ANY,ANY,"","","","",X,"","","","","","","","","",X,calc_cohort_weights
live_weight_female_adult,herd_level_data,ANY,FS,ANY,R,FA uses it directly; FS uses it as mature/potential final weight; FJ uses it as live_weight_mature_stage.,0,TRUE,Inf,TRUE,ANY,ANY,"","","","",X,"","","","","","","","","",X,calc_cohort_weights
live_weight_female_at_slaughter,herd_level_data,ANY,FS,ANY,R,Subadult female slaughter weight only.,0,TRUE,Inf,TRUE,ANY,ANY,"","","","",X,"","","","","","","","","",X,calc_cohort_weights
live_weight_male_adult,herd_level_data,ANY,MA,ANY,R,MA uses it directly; MS uses it as mature/potential final weight; MJ uses it as live_weight_mature_stage.,0,TRUE,Inf,TRUE,ANY,ANY,"","","","",X,"","","","","","","","","",X,calc_cohort_weights
live_weight_male_adult,herd_level_data,ANY,MJ,ANY,R,MA uses it directly; MS uses it as mature/potential final weight; MJ uses it as live_weight_mature_stage.,0,TRUE,Inf,TRUE,ANY,ANY,"","","","",X,"","","","","","","","","",X,calc_cohort_weights
live_weight_male_adult,herd_level_data,ANY,MS,ANY,R,MA uses it directly; MS uses it as mature/potential final weight; MJ uses it as live_weight_mature_stage.,0,TRUE,Inf,TRUE,ANY,ANY,"","","","",X,"","","","","","","","","",X,calc_cohort_weights
live_weight_male_at_slaughter,herd_level_data,ANY,MS,ANY,R,Subadult male slaughter weight only.,0,TRUE,Inf,TRUE,ANY,ANY,"","","","",X,"","","","","","","","","",X,calc_cohort_weights
live_weight_mature_stage,"",ANY,ANY,"","","",0,TRUE,Inf,TRUE,ANY,ANY,"","","","","","","","","","","","","","","",""
low_activity_fraction,cohort_level_data,BFL,ANY,ANY,R,"Used to calculate cact only for CTL, BFL, SHP and GTS. CML and PGS use fixed activity coefficients.",0,TRUE,1,TRUE,ANY,ANY,"","","","","","",X,"","","","","","","",X,calc_metabolic_energy_req_activity
low_activity_fraction,cohort_level_data,CTL,ANY,ANY,R,"Used to calculate cact only for CTL, BFL, SHP and GTS. CML and PGS use fixed activity coefficients.",0,TRUE,1,TRUE,ANY,ANY,"","","","","","",X,"","","","","","","",X,calc_metabolic_energy_req_activity
low_activity_fraction,cohort_level_data,GTS,ANY,ANY,R,"Used to calculate cact only for CTL, BFL, SHP and GTS. CML and PGS use fixed activity coefficients.",0,TRUE,1,TRUE,ANY,ANY,"","","","","","",X,"","","","","","","",X,calc_metabolic_energy_req_activity
low_activity_fraction,cohort_level_data,SHP,ANY,ANY,R,"Used to calculate cact only for CTL, BFL, SHP and GTS. CML and PGS use fixed activity coefficients.",0,TRUE,1,TRUE,ANY,ANY,"","","","","","",X,"","","","","","","",X,calc_metabolic_energy_req_activity
manure_management_system_fraction,manure_management_system_fraction,ANY,ANY,ANY,R,Cohort-specific MMS fractions are applied to manure excretion.,0,TRUE,1,TRUE,ANY,ANY,"","","","","","","","","",X,"","","","",X,run_emissions_manure_module
meat_allocation_energy,"",ANY,ANY,"","","",0,TRUE,Inf,TRUE,ANY,ANY,"","","","","","","","","","","","","","","",""
meat_production_live_weight_cohort,"",ANY,ANY,"","","",0,TRUE,Inf,TRUE,ANY,ANY,"","","","","","","","","","","","","","","",""
meat_protein_fraction,herd_level_data,ANY,ANY,ANY,R,calc_meat_production is applied per requested cohort; any cohort can have offtake.,0,TRUE,1,TRUE,ANY,ANY,"","","","","","","","","","","",X,"","",X,calc_meat_production
metabolic_energy_req_fibre_production,"",ANY,ANY,"","","",0,TRUE,Inf,TRUE,ANY,ANY,"","","","","","","","","","","","","","","",""
metabolic_energy_req_work,"",ANY,ANY,"","","",0,TRUE,Inf,TRUE,ANY,ANY,"","","","","","","","","","","","","","","",""
methane_conversion_factor_mcf,manure_management_system_factors,ANY,ANY,ANY,R,MMS factor required for systems used by requested cohorts.,0,TRUE,100,TRUE,ANY,ANY,"","","","","","","","","",X,"","","","",X,calc_ch4_manure / calc_n2o_manure_*
milk_allocation_energy,"",ANY,ANY,"","","",0,TRUE,Inf,TRUE,ANY,ANY,"","","","","","","","","","","","","","","",""
milk_fat_fraction,herd_level_data,BFL,FA,ANY,R,Production uses it for all milk species; lactation-energy equation uses it specifically for CTL/BFL.,0,TRUE,1,TRUE,ANY,ANY,positive_if_positive,milk_yield_day,calc_milk_production;calc_metabolic_energy_req_lactation;run_gleam;run_production_module;run_metabolic_energy_req_module;run_nitrogen_balance_module,,,,X,,,,,X,,,X,calc_metabolic_energy_req_lactation; calc_milk_production
milk_fat_fraction,herd_level_data,CML,FA,ANY,R,Production uses it for all milk species; lactation-energy equation uses it specifically for CTL/BFL.,0,TRUE,1,TRUE,ANY,ANY,positive_if_positive,milk_yield_day,calc_milk_production;calc_metabolic_energy_req_lactation;run_gleam;run_production_module;run_metabolic_energy_req_module;run_nitrogen_balance_module,,,,X,,,,,X,,,X,calc_metabolic_energy_req_lactation; calc_milk_production
milk_fat_fraction,herd_level_data,CTL,FA,ANY,R,Production uses it for all milk species; lactation-energy equation uses it specifically for CTL/BFL.,0,TRUE,1,TRUE,ANY,ANY,positive_if_positive,milk_yield_day,calc_milk_production;calc_metabolic_energy_req_lactation;run_gleam;run_production_module;run_metabolic_energy_req_module;run_nitrogen_balance_module,,,,X,,,,,X,,,X,calc_metabolic_energy_req_lactation; calc_milk_production
milk_fat_fraction,herd_level_data,GTS,FA,ANY,R,Production uses it for all milk species; lactation-energy equation uses it specifically for CTL/BFL.,0,TRUE,1,TRUE,ANY,ANY,positive_if_positive,milk_yield_day,calc_milk_production;calc_metabolic_energy_req_lactation;run_gleam;run_production_module;run_metabolic_energy_req_module;run_nitrogen_balance_module,,,,X,,,,,X,,,X,calc_metabolic_energy_req_lactation; calc_milk_production
milk_fat_fraction,herd_level_data,SHP,FA,ANY,R,Production uses it for all milk species; lactation-energy equation uses it specifically for CTL/BFL.,0,TRUE,1,TRUE,ANY,ANY,positive_if_positive,milk_yield_day,calc_milk_production;calc_metabolic_energy_req_lactation;run_gleam;run_production_module;run_metabolic_energy_req_module;run_nitrogen_balance_module,,,,X,,,,,X,,,X,calc_metabolic_energy_req_lactation; calc_milk_production
milk_fat_fraction_standard,herd_level_data,BFL,FA,ANY,R,Used for FPCM and milk allocation; non-zero milk applies only to FA of milk-producing species.,0,TRUE,1,TRUE,ANY,ANY,"","","","","","","","","","","",X,X,"",X,calc_milk_production; calc_milk_allocation_energy
milk_fat_fraction_standard,herd_level_data,CML,FA,ANY,R,Used for FPCM and milk allocation; non-zero milk applies only to FA of milk-producing species.,0,TRUE,1,TRUE,ANY,ANY,"","","","","","","","","","","",X,X,"",X,calc_milk_production; calc_milk_allocation_energy
milk_fat_fraction_standard,herd_level_data,CTL,FA,ANY,R,Used for FPCM and milk allocation; non-zero milk applies only to FA of milk-producing species.,0,TRUE,1,TRUE,ANY,ANY,"","","","","","","","","","","",X,X,"",X,calc_milk_production; calc_milk_allocation_energy
milk_fat_fraction_standard,herd_level_data,GTS,FA,ANY,R,Used for FPCM and milk allocation; non-zero milk applies only to FA of milk-producing species.,0,TRUE,1,TRUE,ANY,ANY,"","","","","","","","","","","",X,X,"",X,calc_milk_production; calc_milk_allocation_energy
milk_fat_fraction_standard,herd_level_data,SHP,FA,ANY,R,Used for FPCM and milk allocation; non-zero milk applies only to FA of milk-producing species.,0,TRUE,1,TRUE,ANY,ANY,"","","","","","","","","","","",X,X,"",X,calc_milk_production; calc_milk_allocation_energy
milk_lactose_fraction,herd_level_data,BFL,FA,ANY,R,Used in FPCM calculation for milk-producing FA.,0,TRUE,1,TRUE,ANY,ANY,"","","","","","","","","","","",X,"","",X,calc_milk_production
milk_lactose_fraction,herd_level_data,CML,FA,ANY,R,Used in FPCM calculation for milk-producing FA.,0,TRUE,1,TRUE,ANY,ANY,"","","","","","","","","","","",X,"","",X,calc_milk_production
milk_lactose_fraction,herd_level_data,CTL,FA,ANY,R,Used in FPCM calculation for milk-producing FA.,0,TRUE,1,TRUE,ANY,ANY,"","","","","","","","","","","",X,"","",X,calc_milk_production
milk_lactose_fraction,herd_level_data,GTS,FA,ANY,R,Used in FPCM calculation for milk-producing FA.,0,TRUE,1,TRUE,ANY,ANY,"","","","","","","","","","","",X,"","",X,calc_milk_production
milk_lactose_fraction,herd_level_data,SHP,FA,ANY,R,Used in FPCM calculation for milk-producing FA.,0,TRUE,1,TRUE,ANY,ANY,"","","","","","","","","","","",X,"","",X,calc_milk_production
milk_lactose_fraction_standard,herd_level_data,BFL,FA,ANY,R,Used for FPCM and milk allocation; non-zero milk applies only to FA of milk-producing species.,0,TRUE,1,TRUE,ANY,ANY,"","","","","","","","","","","",X,X,"",X,calc_milk_production; calc_milk_allocation_energy
milk_lactose_fraction_standard,herd_level_data,CML,FA,ANY,R,Used for FPCM and milk allocation; non-zero milk applies only to FA of milk-producing species.,0,TRUE,1,TRUE,ANY,ANY,"","","","","","","","","","","",X,X,"",X,calc_milk_production; calc_milk_allocation_energy
milk_lactose_fraction_standard,herd_level_data,CTL,FA,ANY,R,Used for FPCM and milk allocation; non-zero milk applies only to FA of milk-producing species.,0,TRUE,1,TRUE,ANY,ANY,"","","","","","","","","","","",X,X,"",X,calc_milk_production; calc_milk_allocation_energy
milk_lactose_fraction_standard,herd_level_data,GTS,FA,ANY,R,Used for FPCM and milk allocation; non-zero milk applies only to FA of milk-producing species.,0,TRUE,1,TRUE,ANY,ANY,"","","","","","","","","","","",X,X,"",X,calc_milk_production; calc_milk_allocation_energy
milk_lactose_fraction_standard,herd_level_data,SHP,FA,ANY,R,Used for FPCM and milk allocation; non-zero milk applies only to FA of milk-producing species.,0,TRUE,1,TRUE,ANY,ANY,"","","","","","","","","","","",X,X,"",X,calc_milk_production; calc_milk_allocation_energy
milk_production_fpcm_cohort,"",ANY,ANY,"","","",0,TRUE,Inf,TRUE,ANY,ANY,"","","","","","","","","","","","","","","",""
milk_protein_fraction,herd_level_data,BFL,FA,ANY,R,Milk N retention and milk-protein/FPCM production are FA-only.,0,TRUE,1,TRUE,ANY,ANY,positive_if_positive,milk_yield_day,calc_milk_production;calc_nitrogen_retention;run_gleam;run_production_module;run_metabolic_energy_req_module;run_nitrogen_balance_module,,,,,,X,,,X,,,X,calc_nitrogen_retention; calc_milk_production
milk_protein_fraction,herd_level_data,CML,FA,ANY,R,Milk N retention and milk-protein/FPCM production are FA-only.,0,TRUE,1,TRUE,ANY,ANY,positive_if_positive,milk_yield_day,calc_milk_production;calc_nitrogen_retention;run_gleam;run_production_module;run_metabolic_energy_req_module;run_nitrogen_balance_module,,,,,,X,,,X,,,X,calc_nitrogen_retention; calc_milk_production
milk_protein_fraction,herd_level_data,CTL,FA,ANY,R,Milk N retention and milk-protein/FPCM production are FA-only.,0,TRUE,1,TRUE,ANY,ANY,positive_if_positive,milk_yield_day,calc_milk_production;calc_nitrogen_retention;run_gleam;run_production_module;run_metabolic_energy_req_module;run_nitrogen_balance_module,,,,,,X,,,X,,,X,calc_nitrogen_retention; calc_milk_production
milk_protein_fraction,herd_level_data,GTS,FA,ANY,R,Milk N retention and milk-protein/FPCM production are FA-only.,0,TRUE,1,TRUE,ANY,ANY,positive_if_positive,milk_yield_day,calc_milk_production;calc_nitrogen_retention;run_gleam;run_production_module;run_metabolic_energy_req_module;run_nitrogen_balance_module,,,,,,X,,,X,,,X,calc_nitrogen_retention; calc_milk_production
milk_protein_fraction,herd_level_data,SHP,FA,ANY,R,Milk N retention and milk-protein/FPCM production are FA-only.,0,TRUE,1,TRUE,ANY,ANY,positive_if_positive,milk_yield_day,calc_milk_production;calc_nitrogen_retention;run_gleam;run_production_module;run_metabolic_energy_req_module;run_nitrogen_balance_module,,,,,,X,,,X,,,X,calc_nitrogen_retention; calc_milk_production
milk_protein_fraction_standard,herd_level_data,BFL,FA,ANY,R,Used for FPCM and milk allocation; non-zero milk applies only to FA of milk-producing species.,0,TRUE,1,TRUE,ANY,ANY,"","","","","","","","","","","",X,X,"",X,calc_milk_production; calc_milk_allocation_energy
milk_protein_fraction_standard,herd_level_data,CML,FA,ANY,R,Used for FPCM and milk allocation; non-zero milk applies only to FA of milk-producing species.,0,TRUE,1,TRUE,ANY,ANY,"","","","","","","","","","","",X,X,"",X,calc_milk_production; calc_milk_allocation_energy
milk_protein_fraction_standard,herd_level_data,CTL,FA,ANY,R,Used for FPCM and milk allocation; non-zero milk applies only to FA of milk-producing species.,0,TRUE,1,TRUE,ANY,ANY,"","","","","","","","","","","",X,X,"",X,calc_milk_production; calc_milk_allocation_energy
milk_protein_fraction_standard,herd_level_data,GTS,FA,ANY,R,Used for FPCM and milk allocation; non-zero milk applies only to FA of milk-producing species.,0,TRUE,1,TRUE,ANY,ANY,"","","","","","","","","","","",X,X,"",X,calc_milk_production; calc_milk_allocation_energy
milk_protein_fraction_standard,herd_level_data,SHP,FA,ANY,R,Used for FPCM and milk allocation; non-zero milk applies only to FA of milk-producing species.,0,TRUE,1,TRUE,ANY,ANY,"","","","","","","","","","","",X,X,"",X,calc_milk_production; calc_milk_allocation_energy
milk_yield_day,herd_level_data,BFL,FA,ANY,R,Milk yield contributes only for FA in current code.,0,TRUE,100,TRUE,ANY,ANY,positive_if_positive,lactating_females_fraction,calc_milk_production;calc_metabolic_energy_req_lactation;run_gleam;run_production_module;run_metabolic_energy_req_module;run_nitrogen_balance_module,,,,X,,X,,,X,,,X,calc_metabolic_energy_req_lactation; calc_nitrogen_retention; calc_milk_production
milk_yield_day,herd_level_data,CML,FA,ANY,R,Milk yield contributes only for FA in current code.,0,TRUE,100,TRUE,ANY,ANY,positive_if_positive,lactating_females_fraction,calc_milk_production;calc_metabolic_energy_req_lactation;run_gleam;run_production_module;run_metabolic_energy_req_module;run_nitrogen_balance_module,,,,X,,X,,,X,,,X,calc_metabolic_energy_req_lactation; calc_nitrogen_retention; calc_milk_production
milk_yield_day,herd_level_data,CTL,FA,ANY,R,Milk yield contributes only for FA in current code.,0,TRUE,100,TRUE,ANY,ANY,positive_if_positive,lactating_females_fraction,calc_milk_production;calc_metabolic_energy_req_lactation;run_gleam;run_production_module;run_metabolic_energy_req_module;run_nitrogen_balance_module,,,,X,,X,,,X,,,X,calc_metabolic_energy_req_lactation; calc_nitrogen_retention; calc_milk_production
milk_yield_day,herd_level_data,GTS,FA,ANY,R,Milk yield contributes only for FA in current code.,0,TRUE,100,TRUE,ANY,ANY,positive_if_positive,lactating_females_fraction,calc_milk_production;calc_metabolic_energy_req_lactation;run_gleam;run_production_module;run_metabolic_energy_req_module;run_nitrogen_balance_module,,,,X,,X,,,X,,,X,calc_metabolic_energy_req_lactation; calc_nitrogen_retention; calc_milk_production
milk_yield_day,herd_level_data,SHP,FA,ANY,R,Milk yield contributes only for FA in current code.,0,TRUE,100,TRUE,ANY,ANY,positive_if_positive,lactating_females_fraction,calc_milk_production;calc_metabolic_energy_req_lactation;run_gleam;run_production_module;run_metabolic_energy_req_module;run_nitrogen_balance_module,,,,X,,X,,,X,,,X,calc_metabolic_energy_req_lactation; calc_nitrogen_retention; calc_milk_production
mort_rate,"",ANY,ANY,"","","",0,TRUE,1,FALSE,ANY,ANY,"","","","","","","","","","","","","","","",""
n2o_ef3,manure_management_system_factors,ANY,ANY,ANY,R,MMS factor required for systems used by requested cohorts.,0,TRUE,1,TRUE,ANY,ANY,"","","","","","","","","",X,"","","","",X,calc_ch4_manure / calc_n2o_manure_*
n2o_ef4,manure_management_system_factors,ANY,ANY,ANY,R,MMS factor required for systems used by requested cohorts.,0,TRUE,1,TRUE,ANY,ANY,"","","","","","","","","",X,"","","","",X,calc_ch4_manure / calc_n2o_manure_*
n2o_ef5,manure_management_system_factors,ANY,ANY,ANY,R,MMS factor required for systems used by requested cohorts.,0,TRUE,1,TRUE,ANY,ANY,"","","","","","","","","",X,"","","","",X,calc_ch4_manure / calc_n2o_manure_*
n2o_feed_crop_residues,feed_emissions,ANY,ANY,ANY,R,Feed emission factor is weighted by ration share for each requested cohort.,,,,,"","","","","","","","","","","","",X,"","","",X,run_emissions_ration_module
n2o_feed_fertilizer,feed_emissions,ANY,ANY,ANY,R,Feed emission factor is weighted by ration share for each requested cohort.,,,,,"","","","","","","","","","","","",X,"","","",X,run_emissions_ration_module
n2o_feed_manure_applied,feed_emissions,ANY,ANY,ANY,R,Feed emission factor is weighted by ration share for each requested cohort.,,,,,"","","","","","","","","","","","",X,"","","",X,run_emissions_ration_module
nitrogen_fracgas,manure_management_system_factors,ANY,ANY,ANY,R,MMS factor required for systems used by requested cohorts.,0,TRUE,1,TRUE,ANY,ANY,"","","","","","","","","",X,"","","","",X,calc_ch4_manure / calc_n2o_manure_*
nitrogen_fracleach,manure_management_system_factors,ANY,ANY,ANY,R,MMS factor required for systems used by requested cohorts.,0,TRUE,1,TRUE,ANY,ANY,"","","","","","","","","",X,"","","","",X,calc_ch4_manure / calc_n2o_manure_*
nitrogen_intake,"",ANY,ANY,"","","",,,,,"","",>=,nitrogen_retention,calc_nitrogen_excretion,"","","","","","","","","","","","",""
non_productive_duration,herd_level_data,PGS,FA,ANY,R,Used only for sow reproductive-cycle adjustment in lactation/pregnancy energy.,,,,,"","","","","","","","",X,"","","","","","","",X,calc_metabolic_energy_req_lactation; calc_metabolic_energy_req_pregnancy
offtake_heads_assessment,cohort_level_data,ANY,ANY,TRUE,R,Supplied by user only when has_herd_structure=TRUE; otherwise generated by demographic module.,0,TRUE,Inf,TRUE,ANY,ANY,"","","","","","","","","","","",X,"","",X,run_gleam; run_production_module; run_allocation_module; run_aggregation_module
offtake_rate,cohort_level_data,ANY,ANY,ANY,R,calc_avg_weights uses offtake_rate for every requested cohort; energy uses it only for selected equations but weights makes it universally required.,-2,TRUE,1,FALSE,ANY,ANY,"","","","",X,"",X,"","","","","","","",X,calc_avg_weights; calc_metabolic_energy_req_maintenance; calc_metabolic_energy_req_pregnancy
offtake_rate,cohort_level_data,ANY,ANY,FALSE,R,Demographic module converts annual offtake to daily competing-risk probabilities.,-2,TRUE,1,FALSE,ANY,ANY,"","","",X,"","","","","","","","","","",X,run_demographic_herd_module / calc_transition_probabilities
parturition_rate,herd_level_data,ANY,ANY,FALSE,R,Herd-level reproductive parameter required whenever demographic herd structure is generated.,0.01,TRUE,3,TRUE,ANY,ANY,"","","",X,"","","","","","","","","","",X,calc_fecundity_rates / run_demographic_herd_module
parturition_rate,herd_level_data,BFL,FA,ANY,R,FA lactation/pregnancy energy scales reproductive activity.,0.01,TRUE,3,TRUE,ANY,ANY,"","","","","","",X,"","","","","","","",X,calc_metabolic_energy_req_lactation; calc_metabolic_energy_req_pregnancy
parturition_rate,herd_level_data,CML,FA,ANY,R,FA lactation/pregnancy energy scales reproductive activity.,0.01,TRUE,3,TRUE,ANY,ANY,"","","","","","",X,"","","","","","","",X,calc_metabolic_energy_req_lactation; calc_metabolic_energy_req_pregnancy
parturition_rate,herd_level_data,CTL,FA,ANY,R,FA lactation/pregnancy energy scales reproductive activity.,0.01,TRUE,3,TRUE,ANY,ANY,"","","","","","",X,"","","","","","","",X,calc_metabolic_energy_req_lactation; calc_metabolic_energy_req_pregnancy
parturition_rate,herd_level_data,GTS,FA,ANY,R,FA lactation/pregnancy energy scales reproductive activity.,0.01,TRUE,3,TRUE,ANY,ANY,"","","","","","",X,"","","","","","","",X,calc_metabolic_energy_req_lactation; calc_metabolic_energy_req_pregnancy
parturition_rate,herd_level_data,PGS,FA,ANY,R,PGS FA reproductive nitrogen retention.,0.01,TRUE,3,TRUE,ANY,ANY,"","","","","","","","",X,"","","","","",X,calc_nitrogen_retention
parturition_rate,herd_level_data,SHP,FA,ANY,R,FA lactation/pregnancy energy scales reproductive activity.,0.01,TRUE,3,TRUE,ANY,ANY,"","","","","","",X,"","","","","","","",X,calc_metabolic_energy_req_lactation; calc_metabolic_energy_req_pregnancy
pregnancy_duration,herd_level_data,ANY,FA,ANY,R,Pregnancy energy is computed only for FA and FS.,,,,,"","","","","","","","",X,"","","","","","","",X,calc_metabolic_energy_req_pregnancy
pregnancy_duration,herd_level_data,ANY,FS,ANY,R,Pregnancy energy is computed only for FA and FS.,,,,,"","","","","","","","",X,"","","","","","","",X,calc_metabolic_energy_req_pregnancy
pregnancy_duration,herd_level_data,PGS,FS,ANY,R,PGS FS reproductive nitrogen retention uses pregnancy_duration/cohort_duration_days.,,,,,"","","","","","","","","","",X,"","","","","",X,calc_nitrogen_retention
ratio_m3CH4_to_kgCH4,manure_management_system_factors,ANY,ANY,ANY,R,MMS factor required for systems used by requested cohorts.,0,FALSE,Inf,TRUE,ANY,ANY,"","","","","","","","","",X,"","","","",X,calc_ch4_manure / calc_n2o_manure_*
ratio_me_to_ne,herd_level_data,CML,ANY,ANY,R,Used only for camel meat allocation energy; pigs return 0 and ruminants use NE directly.,0,TRUE,1,TRUE,ANY,ANY,"","","","","","","","","","","","",X,"",X,calc_meat_allocation_energy
ration_ash,"",ANY,ANY,"","","",0,TRUE,0.2,TRUE,ANY,ANY,"","","","","","","","","","","","","","","",""
ration_digestibility_fraction,"",ANY,ANY,"","","",0,TRUE,1,TRUE,ANY,ANY,"","","","","","","","","","","","","","","",""
ration_gross_energy,"",ANY,ANY,"","","",0,TRUE,45,TRUE,ANY,ANY,"","","","","","","","","","","","","","","",""
ration_intake,"",ANY,ANY,"","","",0,TRUE,Inf,TRUE,ANY,ANY,"","","","","","","","","","","","","","","",""
